Year,Month,DayOfWeek,FlightDate,Reporting_Airline,Origin,Dest,CRSDepTime,DepDelay,CRSArrTime,ArrDelay,Cancelled,Diverted,Distance,WeatherDelay,hour_of_day,traffic_index,weather_severity,historical_demand,driver_availability,is_delayed,delay_minutes
2026,3,7,2026-03-01,UA,DEN,PDX,1600,-5.0,1751,-15.0,0.0,0.0,991.0,,16,21.92753325763318,0.0113774695473761,1081,0.7732574014120217,0,0.0
2026,3,1,2026-03-23,AA,DFW,SAT,705,35.0,823,21.0,0.0,0.0,247.0,0.0,7,9.706718076718088,0.0220364612284605,1292,0.7349144302466906,1,21.0
2026,3,3,2026-03-11,WN,STL,MIA,1625,0.0,2005,-5.0,0.0,0.0,1068.0,,16,22.453337269618743,0.0090734132311073,179,0.7304990173266768,0,0.0
2026,3,1,2026-03-16,OO,FAT,DEN,900,-9.0,1228,-10.0,0.0,0.0,844.0,,9,7.76785465667837,0.0044192388031259,48,0.7610112772501305,0,0.0
2026,3,1,2026-03-23,AA,MIA,DFW,844,0.0,1120,-34.0,0.0,0.0,1121.0,,8,8.642572796529084,0.0228369680299186,483,0.7349144302466906,0,0.0
2026,3,2,2026-03-10,WN,STL,HOU,1715,4.0,1935,13.0,0.0,0.0,687.0,,17,17.262009365726236,0.0090734132311073,206,0.7304990173266768,0,13.0
2026,3,3,2026-03-18,UA,MCO,DEN,936,6.0,1200,-27.0,0.0,0.0,1547.0,,9,12.32895192468798,0.0160892773476934,768,0.7732574014120217,0,0.0
2026,3,6,2026-03-21,DL,MSY,ATL,1723,31.0,1953,31.0,0.0,0.0,425.0,0.0,17,26.1337161926736,0.0072375021814459,191,0.7800524074680641,1,31.0
2026,3,4,2026-03-19,WN,OGG,OAK,1000,-5.0,1755,-3.0,0.0,0.0,2348.0,,10,10.668705872896467,0.0566508862178915,85,0.7304990173266768,0,0.0
2026,3,6,2026-03-07,OH,CLT,GSO,2250,20.0,2351,1.0,0.0,0.0,84.0,,22,21.15474876676184,0.0273846732583754,899,0.6783357245337159,0,1.0
2026,3,7,2026-03-01,DL,SFO,JFK,1210,3.0,2053,-40.0,0.0,0.0,2586.0,,12,8.493460367732697,0.002407597533299,406,0.7800524074680641,0,0.0
2026,3,3,2026-03-18,DL,FLL,ATL,1408,29.0,1614,15.0,0.0,0.0,581.0,0.0,14,28.23912102486819,0.0258627483916769,328,0.7800524074680641,0,15.0
2026,3,4,2026-03-05,OO,PLN,DTW,1750,-9.0,1908,-12.0,0.0,0.0,243.0,,17,21.359238725121447,0.065508716375749,14,0.7610112772501305,0,0.0
2026,3,7,2026-03-15,F9,TTN,TPA,1601,19.0,1858,34.0,0.0,0.0,955.0,0.0,16,15.12361987131266,0.0039189027030253,6,0.6862799583188607,1,34.0
2026,3,3,2026-03-04,AA,EWR,CLT,1710,-4.0,1918,-28.0,0.0,0.0,529.0,,17,19.45044689789193,0.007287665830444,571,0.7349144302466906,0,0.0
2026,3,1,2026-03-23,OO,ORF,DTW,1700,18.0,1908,19.0,0.0,0.0,529.0,0.0,17,22.903110065882466,0.0091919506979228,81,0.7610112772501305,1,19.0
2026,3,1,2026-03-02,YX,BOS,JFK,1304,23.0,1435,22.0,0.0,0.0,187.0,0.0,13,11.51086112539724,0.0087717981779701,368,0.7248204667863555,1,22.0
2026,3,1,2026-03-02,AA,CHS,DCA,1105,2.0,1244,-12.0,0.0,0.0,444.0,,11,9.851233959805482,0.0086126175178587,113,0.7349144302466906,0,0.0
2026,3,5,2026-03-06,AA,CLT,IND,2300,11.0,42,5.0,0.0,0.0,427.0,,23,25.508927328339183,0.0273846732583754,116,0.7349144302466906,0,5.0
2026,3,3,2026-03-04,WN,DSM,STL,1520,-9.0,1635,-21.0,0.0,0.0,259.0,,15,20.170036430567517,0.0275336802972439,93,0.7304990173266768,0,0.0
2026,3,5,2026-03-06,YX,DCA,MSN,1419,131.0,1542,172.0,0.0,0.0,707.0,0.0,14,28.5969730790748,0.0250431589261897,570,0.7248204667863555,1,172.0
2026,3,5,2026-03-13,OO,BOI,ORD,747,15.0,1232,26.0,0.0,0.0,1437.0,0.0,7,2.2237005302460418,0.0074956672406894,200,0.7610112772501305,1,26.0
2026,3,2,2026-03-10,DL,ATL,TUS,1025,-5.0,1130,-3.0,0.0,0.0,1541.0,,10,14.154534536642432,0.0187797472514038,1185,0.7800524074680641,0,0.0
2026,3,4,2026-03-19,AA,EGE,DFW,1035,3.0,1348,-19.0,0.0,0.0,721.0,,10,27.940845572720768,0.0151638709986415,44,0.7349144302466906,0,0.0
2026,3,6,2026-03-21,DL,STL,ATL,600,11.0,841,-5.0,0.0,0.0,484.0,,6,5.318877002123796,0.0090734132311073,288,0.7800524074680641,0,0.0
2026,3,3,2026-03-18,DL,AUS,MCO,1548,-3.0,1921,51.0,0.0,0.0,994.0,0.0,15,22.247009573614253,0.0114657698816389,410,0.7800524074680641,1,51.0
